Index,Description,IconIndex,OptionCount,Option0_code,Option0_Value,Option1_code,Option1_Value,Option2_code,Option2_Value,SendToOthers
1220,이동 불가 상태,213,1,SPEED_MOVE_MUL,-100,NONE,0,NONE,0,1
1221,최대 HP 증가\최대 PK 쉴드 감소,214,2,HP_MAX_MUL,17,SHIELD_MAX_MUL,-50,NONE,0,1
1222,최대 HP 증가\최대 PK 쉴드 감소,214,2,HP_MAX_MUL,19,SHIELD_MAX_MUL,-55,NONE,0,1
1223,최대 HP 증가\최대 PK 쉴드 감소,214,2,HP_MAX_MUL,21,SHIELD_MAX_MUL,-60,NONE,0,1
1224,최대 HP 증가\최대 PK 쉴드 감소,214,2,HP_MAX_MUL,23,SHIELD_MAX_MUL,-65,NONE,0,1
1225,최대 HP 증가\최대 PK 쉴드 감소,214,2,HP_MAX_MUL,25,SHIELD_MAX_MUL,-70,NONE,0,1
1226,최대 HP 증가\최대 PK 쉴드 감소,214,2,HP_MAX_MUL,27,SHIELD_MAX_MUL,-75,NONE,0,1
1227,최대 HP 증가\최대 PK 쉴드 감소,214,2,HP_MAX_MUL,29,SHIELD_MAX_MUL,-80,NONE,0,1
1228,최대 HP 증가\최대 PK 쉴드 감소,214,2,HP_MAX_MUL,31,SHIELD_MAX_MUL,-85,NONE,0,1
1229,최대 HP 증가\최대 PK 쉴드 감소,214,2,HP_MAX_MUL,33,SHIELD_MAX_MUL,-90,NONE,0,1
1230,최대 HP 증가\최대 PK 쉴드 감소,214,2,HP_MAX_MUL,35,SHIELD_MAX_MUL,-95,NONE,0,1
1231,최대 HP 증가\최대 PK 쉴드 감소,214,2,HP_MAX_MUL,37,SHIELD_MAX_MUL,-100,NONE,0,1
1232,최대 HP 증가\최대 PK 쉴드 감소,214,2,HP_MAX_MUL,39,SHIELD_MAX_MUL,-105,NONE,0,1
1233,최대 HP 증가\최대 PK 쉴드 감소,214,2,HP_MAX_MUL,41,SHIELD_MAX_MUL,-110,NONE,0,1
1234,최대 HP 증가\최대 PK 쉴드 감소,214,2,HP_MAX_MUL,43,SHIELD_MAX_MUL,-115,NONE,0,1
1235,최대 HP 증가\최대 PK 쉴드 감소,214,2,HP_MAX_MUL,45,SHIELD_MAX_MUL,-120,NONE,0,1
1236,최대 HP 증가\최대 PK 쉴드 감소,214,2,HP_MAX_MUL,47,SHIELD_MAX_MUL,-125,NONE,0,1
1237,최대 HP 증가\최대 PK 쉴드 감소,214,2,HP_MAX_MUL,49,SHIELD_MAX_MUL,-130,NONE,0,1
1238,최대 HP 증가\최대 PK 쉴드 감소,214,2,HP_MAX_MUL,51,SHIELD_MAX_MUL,-135,NONE,0,1
1239,최대 HP 증가\최대 PK 쉴드 감소,214,2,HP_MAX_MUL,53,SHIELD_MAX_MUL,-140,NONE,0,1
1240,최대 HP 증가\최대 PK 쉴드 감소,214,2,HP_MAX_MUL,55,SHIELD_MAX_MUL,-145,NONE,0,1
1241,일시적 스킬 사용 불가,215,1,SKILL_USESKILL,1,NONE,0,NONE,0,1
1242,일시적 스킬 사용 불가,215,1,SKILL_USESKILL,1,NONE,0,NONE,0,1
1243,일시적 스킬 사용 불가,215,1,SKILL_USESKILL,1,NONE,0,NONE,0,1
1244,일시적 스킬 사용 불가,215,1,SKILL_USESKILL,1,NONE,0,NONE,0,1
1245,일시적 스킬 사용 불가,215,1,SKILL_USESKILL,1,NONE,0,NONE,0,1
1246,일시적 스킬 사용 불가,215,1,SKILL_USESKILL,1,NONE,0,NONE,0,1
1247,일시적 스킬 사용 불가,215,1,SKILL_USESKILL,1,NONE,0,NONE,0,1
1248,일시적 스킬 사용 불가,215,1,SKILL_USESKILL,1,NONE,0,NONE,0,1
1249,일시적 스킬 사용 불가,215,1,SKILL_USESKILL,1,NONE,0,NONE,0,1
1250,일시적 스킬 사용 불가,215,1,SKILL_USESKILL,1,NONE,0,NONE,0,1
1251,일시적 스킬 사용 불가,215,1,SKILL_USESKILL,1,NONE,0,NONE,0,1
1252,일시적 스킬 사용 불가,215,1,SKILL_USESKILL,1,NONE,0,NONE,0,1
1253,일시적 스킬 사용 불가,215,1,SKILL_USESKILL,1,NONE,0,NONE,0,1
1254,일시적 스킬 사용 불가,215,1,SKILL_USESKILL,1,NONE,0,NONE,0,1
1255,일시적 스킬 사용 불가,215,1,SKILL_USESKILL,1,NONE,0,NONE,0,1
1256,일시적 스킬 사용 불가,215,1,SKILL_USESKILL,1,NONE,0,NONE,0,1
1257,일시적 스킬 사용 불가,215,1,SKILL_USESKILL,1,NONE,0,NONE,0,1
1258,일시적 스킬 사용 불가,215,1,SKILL_USESKILL,1,NONE,0,NONE,0,1
1259,일시적 스킬 사용 불가,215,1,SKILL_USESKILL,1,NONE,0,NONE,0,1
1260,일시적 스킬 사용 불가,215,1,SKILL_USESKILL,1,NONE,0,NONE,0,1
2001,지속적 마나 회복,14,1,MP_RECOVERY_ADD,962,NONE,0,NONE,0,1
2002,지속적 마나 회복,14,1,MP_RECOVERY_ADD,1787,NONE,0,NONE,0,1
2003,지속적 마나 회복,14,1,MP_RECOVERY_ADD,2612,NONE,0,NONE,0,1
2004,지속적 마나 회복,14,1,MP_RECOVERY_ADD,3437,NONE,0,NONE,0,1
2005,지속적 마나 회복,14,1,MP_RECOVERY_ADD,4262,NONE,0,NONE,0,1
2006,지속적 마나 회복,14,1,MP_RECOVERY_ADD,4362,NONE,0,NONE,0,1
2007,지속적 마나 회복,14,1,MP_RECOVERY_ADD,4462,NONE,0,NONE,0,1
2008,지속적 마나 회복,14,1,MP_RECOVERY_ADD,4562,NONE,0,NONE,0,1
2009,지속적 마나 회복,14,1,MP_RECOVERY_ADD,4662,NONE,0,NONE,0,1
2010,지속적 마나 회복,14,1,MP_RECOVERY_ADD,4662,NONE,0,NONE,0,1
2011,지속적 마나 회복,14,1,MP_RECOVERY_ADD,4662,NONE,0,NONE,0,1
2012,지속적 마나 회복,14,1,MP_RECOVERY_ADD,4662,NONE,0,NONE,0,1
2013,지속적 마나 회복,14,1,MP_RECOVERY_ADD,4662,NONE,0,NONE,0,1
2014,지속적 마나 회복,14,1,MP_RECOVERY_ADD,4662,NONE,0,NONE,0,1
2015,지속적 마나 회복,14,1,MP_RECOVERY_ADD,4662,NONE,0,NONE,0,1
2016,지속적 마나 회복,14,1,MP_RECOVERY_ADD,4662,NONE,0,NONE,0,1
2017,지속적 마나 회복,14,1,MP_RECOVERY_ADD,4662,NONE,0,NONE,0,1
2018,지속적 마나 회복,14,1,MP_RECOVERY_ADD,4662,NONE,0,NONE,0,1
2019,지속적 마나 회복,14,1,MP_RECOVERY_ADD,4662,NONE,0,NONE,0,1
2020,지속적 마나 회복,14,1,MP_RECOVERY_ADD,4662,NONE,0,NONE,0,1
2021,마법 공격력 증가,13,2,DAMAGE_MINMAGICAL_ADD,20,DAMAGE_MAGICAL_MUL,0,NONE,0,1
2022,마법 공격력 증가,13,2,DAMAGE_MINMAGICAL_ADD,20,DAMAGE_MAGICAL_MUL,1,NONE,0,1
2023,마법 공격력 증가,13,2,DAMAGE_MINMAGICAL_ADD,40,DAMAGE_MAGICAL_MUL,2,NONE,0,1
2024,마법 공격력 증가,13,2,DAMAGE_MINMAGICAL_ADD,65,DAMAGE_MAGICAL_MUL,3,NONE,0,1
2025,마법 공격력 증가,13,2,DAMAGE_MINMAGICAL_ADD,95,DAMAGE_MAGICAL_MUL,4,NONE,0,1
2026,마법 공격력 증가,13,2,DAMAGE_MINMAGICAL_ADD,130,DAMAGE_MAGICAL_MUL,5,NONE,0,1
2027,마법 공격력 증가,13,2,DAMAGE_MINMAGICAL_ADD,165,DAMAGE_MAGICAL_MUL,5,NONE,0,1
2028,마법 공격력 증가,13,2,DAMAGE_MINMAGICAL_ADD,200,DAMAGE_MAGICAL_MUL,5,NONE,0,1
2029,마법 공격력 증가,13,2,DAMAGE_MINMAGICAL_ADD,235,DAMAGE_MAGICAL_MUL,5,NONE,0,1
2030,마법 공격력 증가,13,2,DAMAGE_MINMAGICAL_ADD,270,DAMAGE_MAGICAL_MUL,5,NONE,0,1
2031,마법 공격력 증가,13,2,DAMAGE_MINMAGICAL_ADD,305,DAMAGE_MAGICAL_MUL,5,NONE,0,1
2032,마법 공격력 증가,13,2,DAMAGE_MINMAGICAL_ADD,340,DAMAGE_MAGICAL_MUL,5,NONE,0,1
2033,마법 공격력 증가,13,2,DAMAGE_MINMAGICAL_ADD,375,DAMAGE_MAGICAL_MUL,5,NONE,0,1
2034,마법 공격력 증가,13,2,DAMAGE_MINMAGICAL_ADD,410,DAMAGE_MAGICAL_MUL,5,NONE,0,1
2035,마법 공격력 증가,13,2,DAMAGE_MINMAGICAL_ADD,445,DAMAGE_MAGICAL_MUL,5,NONE,0,1
2036,마법 공격력 증가,13,2,DAMAGE_MINMAGICAL_ADD,480,DAMAGE_MAGICAL_MUL,5,NONE,0,1
2037,마법 공격력 증가,13,2,DAMAGE_MINMAGICAL_ADD,515,DAMAGE_MAGICAL_MUL,5,NONE,0,1
2038,마법 공격력 증가,13,2,DAMAGE_MINMAGICAL_ADD,550,DAMAGE_MAGICAL_MUL,5,NONE,0,1
2039,마법 공격력 증가,13,2,DAMAGE_MINMAGICAL_ADD,585,DAMAGE_MAGICAL_MUL,5,NONE,0,1
2040,마법 공격력 증가,13,2,DAMAGE_MINMAGICAL_ADD,620,DAMAGE_MAGICAL_MUL,5,NONE,0,1
2041,냉기 상태로 이동장애,31,1,SPEED_MOVE_MUL,-50,NONE,0,NONE,0,1
2042,냉기 상태로 이동장애,31,1,SPEED_MOVE_MUL,-51,NONE,0,NONE,0,1
2043,냉기 상태로 이동장애,31,1,SPEED_MOVE_MUL,-52,NONE,0,NONE,0,1
2044,냉기 상태로 이동장애,31,1,SPEED_MOVE_MUL,-53,NONE,0,NONE,0,1
2045,냉기 상태로 이동장애,31,1,SPEED_MOVE_MUL,-54,NONE,0,NONE,0,1
2046,냉기 상태로 이동장애,31,1,SPEED_MOVE_MUL,-55,NONE,0,NONE,0,1
2047,냉기 상태로 이동장애,31,1,SPEED_MOVE_MUL,-56,NONE,0,NONE,0,1
2048,냉기 상태로 이동장애,31,1,SPEED_MOVE_MUL,-57,NONE,0,NONE,0,1
2049,냉기 상태로 이동장애,31,1,SPEED_MOVE_MUL,-58,NONE,0,NONE,0,1
2050,냉기 상태로 이동장애,31,1,SPEED_MOVE_MUL,-59,NONE,0,NONE,0,1
2051,냉기 상태로 이동장애,31,1,SPEED_MOVE_MUL,-60,NONE,0,NONE,0,1
2052,냉기 상태로 이동장애,31,1,SPEED_MOVE_MUL,-61,NONE,0,NONE,0,1
2053,냉기 상태로 이동장애,31,1,SPEED_MOVE_MUL,-62,NONE,0,NONE,0,1
2054,냉기 상태로 이동장애,31,1,SPEED_MOVE_MUL,-63,NONE,0,NONE,0,1
2055,냉기 상태로 이동장애,31,1,SPEED_MOVE_MUL,-64,NONE,0,NONE,0,1
2056,냉기 상태로 이동장애,31,1,SPEED_MOVE_MUL,-65,NONE,0,NONE,0,1
2057,냉기 상태로 이동장애,31,1,SPEED_MOVE_MUL,-66,NONE,0,NONE,0,1
2058,냉기 상태로 이동장애,31,1,SPEED_MOVE_MUL,-67,NONE,0,NONE,0,1
2059,냉기 상태로 이동장애,31,1,SPEED_MOVE_MUL,-68,NONE,0,NONE,0,1
2060,냉기 상태로 이동장애,31,1,SPEED_MOVE_MUL,-69,NONE,0,NONE,0,1
2061,냉기 상태 순간 이동불가상태,34,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2062,냉기 상태 순간 이동불가상태,34,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2063,냉기 상태 순간 이동불가상태,34,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2064,냉기 상태 순간 이동불가상태,34,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2065,냉기 상태 순간 이동불가상태,34,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2066,냉기 상태 순간 이동불가상태,34,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2067,냉기 상태 순간 이동불가상태,34,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2068,냉기 상태 순간 이동불가상태,34,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2069,냉기 상태 순간 이동불가상태,34,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2070,냉기 상태 순간 이동불가상태,34,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2071,냉기 상태 순간 이동불가상태,34,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2072,냉기 상태 순간 이동불가상태,34,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2073,냉기 상태 순간 이동불가상태,34,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2074,냉기 상태 순간 이동불가상태,34,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2075,냉기 상태 순간 이동불가상태,34,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2076,냉기 상태 순간 이동불가상태,34,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2077,냉기 상태 순간 이동불가상태,34,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2078,냉기 상태 순간 이동불가상태,34,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2079,냉기 상태 순간 이동불가상태,34,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2080,냉기 상태 순간 이동불가상태,34,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2081,방어력 증가\모든 마법저항력 증가,45,3,DEFENSE_MIN_ADD,15,DEFENSE_MUL,1,RESIST_ALL_ADD,4,1
2082,방어력 증가\모든 마법저항력 증가,45,3,DEFENSE_MIN_ADD,20,DEFENSE_MUL,2,RESIST_ALL_ADD,6,1
2083,방어력 증가\모든 마법저항력 증가,45,3,DEFENSE_MIN_ADD,30,DEFENSE_MUL,3,RESIST_ALL_ADD,8,1
2084,방어력 증가\모든 마법저항력 증가,45,3,DEFENSE_MIN_ADD,45,DEFENSE_MUL,4,RESIST_ALL_ADD,10,1
2085,방어력 증가\모든 마법저항력 증가,45,3,DEFENSE_MIN_ADD,60,DEFENSE_MUL,5,RESIST_ALL_ADD,12,1
2086,방어력 증가\모든 마법저항력 증가,45,3,DEFENSE_MIN_ADD,60,DEFENSE_MUL,6,RESIST_ALL_ADD,14,1
2087,방어력 증가\모든 마법저항력 증가,45,3,DEFENSE_MIN_ADD,60,DEFENSE_MUL,7,RESIST_ALL_ADD,14,1
2088,방어력 증가\모든 마법저항력 증가,45,3,DEFENSE_MIN_ADD,60,DEFENSE_MUL,8,RESIST_ALL_ADD,14,1
2089,방어력 증가\모든 마법저항력 증가,45,3,DEFENSE_MIN_ADD,60,DEFENSE_MUL,9,RESIST_ALL_ADD,14,1
2090,방어력 증가\모든 마법저항력 증가,45,3,DEFENSE_MIN_ADD,60,DEFENSE_MUL,10,RESIST_ALL_ADD,14,1
2091,방어력 증가\모든 마법저항력 증가,45,3,DEFENSE_MIN_ADD,60,DEFENSE_MUL,11,RESIST_ALL_ADD,14,1
2092,방어력 증가\모든 마법저항력 증가,45,3,DEFENSE_MIN_ADD,60,DEFENSE_MUL,12,RESIST_ALL_ADD,14,1
2093,방어력 증가\모든 마법저항력 증가,45,3,DEFENSE_MIN_ADD,60,DEFENSE_MUL,13,RESIST_ALL_ADD,14,1
2094,방어력 증가\모든 마법저항력 증가,45,3,DEFENSE_MIN_ADD,60,DEFENSE_MUL,14,RESIST_ALL_ADD,14,1
2095,방어력 증가\모든 마법저항력 증가,45,3,DEFENSE_MIN_ADD,60,DEFENSE_MUL,15,RESIST_ALL_ADD,14,1
2096,방어력 증가\모든 마법저항력 증가,45,3,DEFENSE_MIN_ADD,60,DEFENSE_MUL,16,RESIST_ALL_ADD,14,1
2097,방어력 증가\모든 마법저항력 증가,45,3,DEFENSE_MIN_ADD,60,DEFENSE_MUL,17,RESIST_ALL_ADD,14,1
2098,방어력 증가\모든 마법저항력 증가,45,3,DEFENSE_MIN_ADD,60,DEFENSE_MUL,18,RESIST_ALL_ADD,14,1
2099,방어력 증가\모든 마법저항력 증가,45,3,DEFENSE_MIN_ADD,60,DEFENSE_MUL,19,RESIST_ALL_ADD,14,1
2100,방어력 증가\모든 마법저항력 증가,45,3,DEFENSE_MIN_ADD,60,DEFENSE_MUL,20,RESIST_ALL_ADD,14,1
2101,쉴드의 최대치 증가 및 회복력 증가,90,2,DEFENSE_MIN_ADD,12,DEFENSE_MUL,1,NONE,1,1
2102,쉴드의 최대치 증가 및 회복력 증가,90,2,DEFENSE_MIN_ADD,18,DEFENSE_MUL,1,NONE,2,1
2103,쉴드의 최대치 증가 및 회복력 증가,90,2,DEFENSE_MIN_ADD,24,DEFENSE_MUL,2,NONE,2,1
2104,쉴드의 최대치 증가 및 회복력 증가,90,2,DEFENSE_MIN_ADD,30,DEFENSE_MUL,2,NONE,3,1
2105,쉴드의 최대치 증가 및 회복력 증가,90,2,DEFENSE_MIN_ADD,36,DEFENSE_MUL,2,NONE,4,1
2106,쉴드의 최대치 증가 및 회복력 증가,90,2,DEFENSE_MIN_ADD,42,DEFENSE_MUL,2,NONE,4,1
2107,쉴드의 최대치 증가 및 회복력 증가,90,2,DEFENSE_MIN_ADD,48,DEFENSE_MUL,2,NONE,4,1
2108,쉴드의 최대치 증가 및 회복력 증가,90,2,DEFENSE_MIN_ADD,54,DEFENSE_MUL,2,NONE,4,1
2109,쉴드의 최대치 증가 및 회복력 증가,90,2,DEFENSE_MIN_ADD,60,DEFENSE_MUL,2,NONE,4,1
2110,쉴드의 최대치 증가 및 회복력 증가,90,2,DEFENSE_MIN_ADD,66,DEFENSE_MUL,2,NONE,4,1
2111,쉴드의 최대치 증가 및 회복력 증가,90,2,DEFENSE_MIN_ADD,72,DEFENSE_MUL,2,NONE,4,1
2112,쉴드의 최대치 증가 및 회복력 증가,90,2,DEFENSE_MIN_ADD,78,DEFENSE_MUL,2,NONE,4,1
2113,쉴드의 최대치 증가 및 회복력 증가,90,2,DEFENSE_MIN_ADD,84,DEFENSE_MUL,2,NONE,4,1
2114,쉴드의 최대치 증가 및 회복력 증가,90,2,DEFENSE_MIN_ADD,90,DEFENSE_MUL,2,NONE,4,1
2115,쉴드의 최대치 증가 및 회복력 증가,90,2,DEFENSE_MIN_ADD,96,DEFENSE_MUL,2,NONE,4,1
2116,쉴드의 최대치 증가 및 회복력 증가,90,2,DEFENSE_MIN_ADD,102,DEFENSE_MUL,2,NONE,4,1
2117,쉴드의 최대치 증가 및 회복력 증가,90,2,DEFENSE_MIN_ADD,108,DEFENSE_MUL,2,NONE,4,1
2118,쉴드의 최대치 증가 및 회복력 증가,90,2,DEFENSE_MIN_ADD,114,DEFENSE_MUL,2,NONE,4,1
2119,쉴드의 최대치 증가 및 회복력 증가,90,2,DEFENSE_MIN_ADD,120,DEFENSE_MUL,2,NONE,4,1
2120,쉴드의 최대치 증가 및 회복력 증가,90,2,DEFENSE_MIN_ADD,126,DEFENSE_MUL,2,NONE,4,1
2121,충격으로 인한 행동불능,110,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2122,충격으로 인한 행동불능,110,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2123,충격으로 인한 행동불능,110,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2124,충격으로 인한 행동불능,110,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2125,충격으로 인한 행동불능,110,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2126,충격으로 인한 행동불능,110,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2127,충격으로 인한 행동불능,110,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2128,충격으로 인한 행동불능,110,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2129,충격으로 인한 행동불능,110,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2130,충격으로 인한 행동불능,110,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2131,충격으로 인한 행동불능,110,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2132,충격으로 인한 행동불능,110,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2133,충격으로 인한 행동불능,110,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2134,충격으로 인한 행동불능,110,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2135,충격으로 인한 행동불능,110,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2136,충격으로 인한 행동불능,110,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2137,충격으로 인한 행동불능,110,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2138,충격으로 인한 행동불능,110,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2139,충격으로 인한 행동불능,110,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2140,충격으로 인한 행동불능,110,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2141,마법에 의한 냉각상태,98,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2142,마법에 의한 냉각상태,98,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2143,마법에 의한 냉각상태,98,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2144,마법에 의한 냉각상태,98,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2145,마법에 의한 냉각상태,98,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2146,마법에 의한 냉각상태,98,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2147,마법에 의한 냉각상태,98,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2148,마법에 의한 냉각상태,98,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2149,마법에 의한 냉각상태,98,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2150,마법에 의한 냉각상태,98,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2151,마법에 의한 냉각상태,98,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2152,마법에 의한 냉각상태,98,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2153,마법에 의한 냉각상태,98,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2154,마법에 의한 냉각상태,98,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2155,마법에 의한 냉각상태,98,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2156,마법에 의한 냉각상태,98,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2157,마법에 의한 냉각상태,98,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2158,마법에 의한 냉각상태,98,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2159,마법에 의한 냉각상태,98,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2160,마법에 의한 냉각상태,98,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2161,마법에 의한 냉각상태,168,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2162,마법에 의한 냉각상태,168,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2163,마법에 의한 냉각상태,168,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2164,마법에 의한 냉각상태,168,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2165,마법에 의한 냉각상태,168,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2166,마법에 의한 냉각상태,168,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2167,마법에 의한 냉각상태,168,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2168,마법에 의한 냉각상태,168,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2169,마법에 의한 냉각상태,168,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2170,마법에 의한 냉각상태,168,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2171,마법에 의한 냉각상태,168,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2172,마법에 의한 냉각상태,168,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2173,마법에 의한 냉각상태,168,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2174,마법에 의한 냉각상태,168,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2175,마법에 의한 냉각상태,168,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2176,마법에 의한 냉각상태,168,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2177,마법에 의한 냉각상태,168,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2178,마법에 의한 냉각상태,168,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2179,마법에 의한 냉각상태,168,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2180,마법에 의한 냉각상태,168,2,SPEED_MOVE_MUL,-100,SPEED_ATTACK_MUL,-100,NONE,0,1
2181,라이트닝 속성 공격력 증가,169,1,DAMAGERATE_LIGHTNING_ADD,10,NONE,0,NONE,0,1
2182,라이트닝 속성 공격력 증가,169,1,DAMAGERATE_LIGHTNING_ADD,20,NONE,0,NONE,0,1
2183,라이트닝 속성 공격력 증가,169,1,DAMAGERATE_LIGHTNING_ADD,30,NONE,0,NONE,0,1
2184,라이트닝 속성 공격력 증가,169,1,DAMAGERATE_LIGHTNING_ADD,40,NONE,0,NONE,0,1
2185,라이트닝 속성 공격력 증가,169,1,DAMAGERATE_LIGHTNING_ADD,50,NONE,0,NONE,0,1
