∑π∫ß,¿Œµ¶Ω∫,≈∏¿‘,º≥∏Ì,πŒ,∏∆Ω∫
631,22604,RESIST_ALL_ADD,All Resistance +,1,1
641,22801,HP_MAX_ADD,Max HP +,250,307
641,22802,MP_MAX_ADD,Max MP +,110,135
641,22803,MP_MAX_ADD,Max MP +,110,135
651,23001,DEFENSE_MIN_ADD,Defense +,9,17
651,23002,RESIST_MELEE_ADD,Physical Resist +%,1,1
651,23003,RESIST_ALL_ADD,All Resistance +,1,1
651,23004,RESIST_ALL_ADD,All Resistance +,1,1
661,23201,DEFENSE_MIN_ADD,Defense +,9,17
661,23202,SPEED_MOVE_MUL,Movement Speed +%,1,2
661,23203,RESIST_ALL_ADD,All Resistance +,1,1
661,23204,RESIST_ALL_ADD,All Resistance +,1,1
671,23401,DAMAGE_PHYSICAL_MUL,Physical Attack +%,1,2
671,23402,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,4,5
671,23403,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,4,5
681,23601,DEFENSE_MIN_ADD,Defense +,25,35
681,23602,DEFENSE_MIN_ADD,Defense +,25,35
681,23603,RESIST_ALL_ADD,All Resistance +,1,1
681,23604,RESIST_ALL_ADD,All Resistance +,1,1
691,23801,HP_MAX_ADD,Max HP +,250,307
691,23802,MP_MAX_ADD,Max MP +,110,135
691,23803,MP_MAX_ADD,Max MP +,110,135
701,24001,DEFENSE_MIN_ADD,Defense +,9,17
701,24002,RESIST_MELEE_ADD,Physical Resist +%,1,1
701,24003,RESIST_ALL_ADD,All Resistance +,1,1
701,24004,RESIST_ALL_ADD,All Resistance +,1,1
711,24201,DEFENSE_MIN_ADD,Defense +,9,17
711,24202,SPEED_MOVE_MUL,Movement Speed +%,1,2
711,24203,RESIST_ALL_ADD,All Resistance +,1,1
711,24204,RESIST_ALL_ADD,All Resistance +,1,1
721,24401,DAMAGE_MAGICAL_MUL,Magic Attack +%,1,2
721,24402,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,4,5
721,24403,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,4,5
731,24601,DEFENSE_MIN_ADD,Defense +,25,35
731,24602,DEFENSE_MIN_ADD,Defense +,25,35
731,24603,RESIST_ALL_ADD,All Resistance +,1,1
731,24604,RESIST_ALL_ADD,All Resistance +,1,1
741,24801,HP_MAX_ADD,Max HP +,250,307
741,24802,MP_MAX_ADD,Max MP +,110,135
741,24803,MP_MAX_ADD,Max MP +,110,135
751,25001,DEFENSE_MIN_ADD,Defense +,9,17
751,25002,RESIST_MELEE_ADD,Physical Resist +%,1,1
751,25003,RESIST_ALL_ADD,All Resistance +,1,1
751,25004,RESIST_ALL_ADD,All Resistance +,1,1
761,25201,DEFENSE_MIN_ADD,Defense +,9,17
761,25202,SPEED_MOVE_MUL,Movement Speed +%,1,2
761,25203,RESIST_ALL_ADD,All Resistance +,1,1
761,25204,RESIST_ALL_ADD,All Resistance +,1,1
771,25401,DAMAGE_MAGICAL_MUL,Magic Attack +%,1,2
771,25402,DAMAGE_PHYSICAL_MUL,Physical Attack +%,1,2
771,25403,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,4,5
771,25404,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,4,5
781,25601,DEFENSE_MIN_ADD,Defense +,25,35
781,25602,DEFENSE_MIN_ADD,Defense +,25,35
781,25603,RESIST_ALL_ADD,All Resistance +,1,1
781,25604,RESIST_ALL_ADD,All Resistance +,1,1
791,25801,HP_MAX_ADD,Max HP +,250,307
791,25802,MP_MAX_ADD,Max MP +,110,135
791,25803,MP_MAX_ADD,Max MP +,110,135
801,26001,DEFENSE_MIN_ADD,Defense +,9,17
801,26002,RESIST_MELEE_ADD,Physical Resist +%,1,1
801,26003,RESIST_ALL_ADD,All Resistance +,1,1
801,26004,RESIST_ALL_ADD,All Resistance +,1,1
811,26201,DEFENSE_MIN_ADD,Defense +,9,17
811,26202,SPEED_MOVE_MUL,Movement Speed +%,1,2
811,26203,RESIST_ALL_ADD,All Resistance +,1,1
811,26204,RESIST_ALL_ADD,All Resistance +,1,1
821,26401,DAMAGERATE_CURSE_ADD,Curse Attack +%,1,2
821,26402,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,4,5
821,26403,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,4,5
831,26601,DEFENSE_MIN_ADD,Defense +,25,35
831,26602,DEFENSE_MIN_ADD,Defense +,25,35
831,26603,RESIST_ALL_ADD,All Resistance +,1,1
831,26604,RESIST_ALL_ADD,All Resistance +,1,1
841,26801,HP_MAX_ADD,Max HP +,250,307
841,26802,MP_MAX_ADD,Max MP +,110,135
841,26803,MP_MAX_ADD,Max MP +,110,135
851,27001,DEFENSE_MIN_ADD,Defense +,9,17
851,27002,RESIST_MELEE_ADD,Physical Resist +%,1,1
851,27003,RESIST_ALL_ADD,All Resistance +,1,1
851,27004,RESIST_ALL_ADD,All Resistance +,1,1
861,27201,DEFENSE_MIN_ADD,Defense +,9,17
861,27202,SPEED_MOVE_MUL,Movement Speed +%,1,2
861,27203,RESIST_ALL_ADD,All Resistance +,1,1
861,27204,RESIST_ALL_ADD,All Resistance +,1,1
871,27401,DAMAGE_PHYSICAL_MUL,Physical Attack +%,1,2
871,27402,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,4,5
871,27403,DAMAGERATE_CRITICAL_ADD,Critical Attack +%,4,5
881,27601,DEFENSE_MIN_ADD,Defense +,25,35
881,27602,DEFENSE_MIN_ADD,Defense +,25,35
881,27603,RESIST_ALL_ADD,All Resistance +,1,1
881,27604,RESIST_ALL_ADD,All Resistance +,1,1
891,27801,HP_MAX_ADD,Max HP +,250,307
891,27802,MP_MAX_ADD,Max MP +,110,135
891,27803,MP_MAX_ADD,Max MP +,110,135
